TimeGenerated,IoC,IoC_Type,Tags,Threat_Type,Status,itype
2023-03-13T14:04:40.449Z,86.172.181.82,ip,"[""None"", ""Oakboat"", ""Pinkslipbot"", ""port:443"", ""pr0xylife"", ""QakBot"", ""Qbot"", ""Quakbot"", ""Threatfox"", ""win.qakbot""]",c2,active,c2_ip
2023-03-13T13:54:36.712Z,186.64.67.3,ip,"[""Version-QAKBOT""]",c2,active,c2_ip
2023-03-13T13:54:36.692Z,47.61.70.76,ip,"[""Version-QAKBOT""]",c2,active,c2_ip
2023-03-13T13:54:36.673Z,217.165.232.217,ip,"[""Version-QAKBOT""]",c2,active,c2_ip
2023-03-13T13:54:36.655Z,86.166.76.246,ip,"[""Version-QAKBOT""]",c2,active,c2_ip
2023-03-13T13:54:36.621Z,212.70.98.141,ip,"[""Version-QAKBOT""]",c2,active,c2_ip
2023-03-13T13:54:36.604Z,200.84.195.17,ip,"[""Version-QAKBOT""]",c2,active,c2_ip
2023-03-13T13:54:36.586Z,105.186.191.24,ip,"[""Version-QAKBOT""]",c2,active,c2_ip
2023-03-13T13:54:36.570Z,31.166.152.157,ip,"[""Version-QAKBOT""]",c2,active,c2_ip
2023-03-13T13:54:36.553Z,2.49.58.47,ip,"[""Version-QAKBOT""]",c2,active,c2_ip
2023-03-13T13:54:36.536Z,83.7.55.212,ip,"[""Version-QAKBOT""]",c2,active,c2_ip
2023-03-13T13:54:36.502Z,201.249.12.75,ip,"[""Version-QAKBOT""]",c2,active,c2_ip
2023-03-13T13:54:36.485Z,92.20.204.198,ip,"[""Version-QAKBOT""]",c2,active,c2_ip
2023-03-13T13:54:36.468Z,180.162.231.210,ip,"[""Version-QAKBOT""]",c2,active,c2_ip
2023-03-13T13:54:36.433Z,64.237.245.195,ip,"[""Version-QAKBOT""]",c2,active,c2_ip
2023-03-13T13:54:36.411Z,94.200.183.66,ip,"[""Version-QAKBOT""]",c2,active,c2_ip
2023-03-13T13:41:59.171Z,201.249.12.75,ip,"[""39778"", ""#qakbot"", ""[IR-2][PIR-1]"", ""https://twitter.com/pr0xylife/status/1635272138323288067"", ""Pinkslipbot"", ""pr0xylife"", ""Qbot"", ""QuackBot"", ""soc-39778""]",phish,active,phish_ip
2023-03-13T13:41:59.155Z,39.55.251.26,ip,"[""39778"", ""#qakbot"", ""[IR-2][PIR-1]"", ""https://twitter.com/pr0xylife/status/1635272138323288067"", ""Pinkslipbot"", ""pr0xylife"", ""Qbot"", ""QuackBot"", ""soc-39778""]",phish,active,phish_ip
2023-03-13T13:41:58.915Z,94.200.183.66,ip,"[""39778"", ""#qakbot"", ""[IR-2][PIR-1]"", ""https://twitter.com/pr0xylife/status/1635272138323288067"", ""Pinkslipbot"", ""pr0xylife"", ""Qbot"", ""QuackBot"", ""soc-39778""]",phish,active,phish_ip
2023-03-13T13:41:58.836Z,2.49.58.47,ip,"[""39778"", ""#qakbot"", ""[IR-2][PIR-1]"", ""https://twitter.com/pr0xylife/status/1635272138323288067"", ""Pinkslipbot"", ""pr0xylife"", ""Qbot"", ""QuackBot"", ""soc-39778""]",phish,active,phish_ip
2023-03-13T13:41:58.819Z,83.7.55.212,ip,"[""39778"", ""#qakbot"", ""[IR-2][PIR-1]"", ""https://twitter.com/pr0xylife/status/1635272138323288067"", ""Pinkslipbot"", ""pr0xylife"", ""Qbot"", ""QuackBot"", ""soc-39778""]",phish,active,phish_ip
2023-03-13T13:41:58.745Z,31.166.152.157,ip,"[""39778"", ""#qakbot"", ""[IR-2][PIR-1]"", ""https://twitter.com/pr0xylife/status/1635272138323288067"", ""Pinkslipbot"", ""pr0xylife"", ""Qbot"", ""QuackBot"", ""soc-39778""]",phish,active,phish_ip
2023-03-13T13:41:58.712Z,51.37.187.159,ip,"[""39778"", ""#qakbot"", ""[IR-2][PIR-1]"", ""https://twitter.com/pr0xylife/status/1635272138323288067"", ""Pinkslipbot"", ""pr0xylife"", ""Qbot"", ""QuackBot"", ""soc-39778""]",phish,active,phish_ip
2023-03-13T13:41:58.695Z,223.176.7.23,ip,"[""39778"", ""#qakbot"", ""[IR-2][PIR-1]"", ""https://twitter.com/pr0xylife/status/1635272138323288067"", ""Pinkslipbot"", ""pr0xylife"", ""Qbot"", ""QuackBot"", ""soc-39778""]",phish,active,phish_ip
2023-03-13T13:41:58.679Z,86.165.156.39,ip,"[""39778"", ""#qakbot"", ""[IR-2][PIR-1]"", ""https://twitter.com/pr0xylife/status/1635272138323288067"", ""Pinkslipbot"", ""pr0xylife"", ""Qbot"", ""QuackBot"", ""soc-39778""]",phish,active,phish_ip
2023-03-13T13:41:58.607Z,200.84.195.17,ip,"[""39778"", ""#qakbot"", ""[IR-2][PIR-1]"", ""https://twitter.com/pr0xylife/status/1635272138323288067"", ""Pinkslipbot"", ""pr0xylife"", ""Qbot"", ""QuackBot"", ""soc-39778""]",phish,active,phish_ip
2023-03-13T13:41:58.521Z,105.186.191.24,ip,"[""39778"", ""#qakbot"", ""[IR-2][PIR-1]"", ""https://twitter.com/pr0xylife/status/1635272138323288067"", ""Pinkslipbot"", ""pr0xylife"", ""Qbot"", ""QuackBot"", ""soc-39778""]",phish,active,phish_ip
2023-03-13T13:41:58.459Z,116.75.63.121,ip,"[""39778"", ""#qakbot"", ""[IR-2][PIR-1]"", ""https://twitter.com/pr0xylife/status/1635272138323288067"", ""Pinkslipbot"", ""pr0xylife"", ""Qbot"", ""QuackBot"", ""soc-39778""]",phish,active,phish_ip
2023-03-13T13:41:58.397Z,86.166.76.246,ip,"[""39778"", ""#qakbot"", ""[IR-2][PIR-1]"", ""https://twitter.com/pr0xylife/status/1635272138323288067"", ""Pinkslipbot"", ""pr0xylife"", ""Qbot"", ""QuackBot"", ""soc-39778""]",phish,active,phish_ip
2023-03-13T13:41:58.350Z,103.123.223.144,ip,"[""39778"", ""#qakbot"", ""[IR-2][PIR-1]"", ""https://twitter.com/pr0xylife/status/1635272138323288067"", ""Pinkslipbot"", ""pr0xylife"", ""Qbot"", ""QuackBot"", ""soc-39778""]",phish,active,phish_ip
2023-03-13T13:41:58.279Z,86.98.216.189,ip,"[""39778"", ""#qakbot"", ""[IR-2][PIR-1]"", ""https://twitter.com/pr0xylife/status/1635272138323288067"", ""Pinkslipbot"", ""pr0xylife"", ""Qbot"", ""QuackBot"", ""soc-39778""]",phish,active,phish_ip
2023-03-13T13:41:58.249Z,212.70.98.141,ip,"[""39778"", ""#qakbot"", ""[IR-2][PIR-1]"", ""https://twitter.com/pr0xylife/status/1635272138323288067"", ""Pinkslipbot"", ""pr0xylife"", ""Qbot"", ""QuackBot"", ""soc-39778""]",phish,active,phish_ip
2023-03-13T13:41:58.233Z,86.172.181.82,ip,"[""39778"", ""#qakbot"", ""[IR-2][PIR-1]"", ""https://twitter.com/pr0xylife/status/1635272138323288067"", ""Pinkslipbot"", ""pr0xylife"", ""Qbot"", ""QuackBot"", ""soc-39778""]",phish,active,phish_ip
2023-03-13T13:41:58.183Z,178.153.2.76,ip,"[""39778"", ""#qakbot"", ""[IR-2][PIR-1]"", ""https://twitter.com/pr0xylife/status/1635272138323288067"", ""Pinkslipbot"", ""pr0xylife"", ""Qbot"", ""QuackBot"", ""soc-39778""]",phish,active,phish_ip
2023-03-13T13:41:58.126Z,47.61.70.76,ip,"[""39778"", ""#qakbot"", ""[IR-2][PIR-1]"", ""https://twitter.com/pr0xylife/status/1635272138323288067"", ""Pinkslipbot"", ""pr0xylife"", ""Qbot"", ""QuackBot"", ""soc-39778""]",phish,active,phish_ip
2023-03-13T13:41:58.111Z,217.165.232.217,ip,"[""39778"", ""#qakbot"", ""[IR-2][PIR-1]"", ""https://twitter.com/pr0xylife/status/1635272138323288067"", ""Pinkslipbot"", ""pr0xylife"", ""Qbot"", ""QuackBot"", ""soc-39778""]",phish,active,phish_ip
